Feature	Gain	Cover	Frequency
mcuenta_debitos_automaticos	0.00464054323845851	0.00969888934017452	0.0083758937691522
Visa_mpagado	0.00430622925616585	0.00818801665112004	0.00633299284984678
ctarjeta_visa_debitos_automaticos	0.00403126262959338	0.00631673804972711	0.00704800817160368
ccuenta_debitos_automaticos	0.00403049722012945	0.00718206113373604	0.00572012257405516
ccaja_ahorro	0.00401431062281769	0.0107938129287027	0.00429009193054137
mpagomiscuentas	0.0039162475771841	0.00974445554819467	0.0076608784473953
Master_msaldototal	0.00385517539984216	0.00430221780471487	0.00500510725229826
Master_mpagominimo	0.00368993916116681	0.00501945571114535	0.00469867211440245
ctarjeta_master	0.00350041141890907	0.000183454472000415	0.000408580183861083
mdescubierto_preacordado	0.00337734503122961	0.00515721901294916	0.00204290091930541
Master_mpagospesos	0.00330380159125165	0.0125886196765963	0.00643513789581205
Master_msaldopesos	0.00323405640339468	0.00630278727234841	0.00520939734422881
ctarjeta_debito	0.0027918204669125	0.00438762195458679	0.00449438202247191
cpagomiscuentas	0.00265347426610647	0.00650038746272278	0.00725229826353422
Master_fultimo_cierre	0.00234391129424378	0.00422954480137952	0.00490296220633299
ccajas_consultas	0.00214359976173417	0.0103250748063576	0.00204290091930541
Visa_mpagosdolares	0.00212683454755505	0.00428100422564098	0.00326864147088866
mplazo_fijo_dolares	0.0021081519987298	0.0148781166916398	0.00265577119509704
cmobile_app_trx	0.00204487801589439	0.00171796000786482	0.00316649642492339
matm	0.00176672535813339	0.00580920167083827	0.00623084780388151
Visa_mconsumosdolares	0.00173920755531609	0.00402798580925525	0.00490296220633299
Visa_status	0.00151160169207452	0.00431050529625693	0.00112359550561798
Master_mconsumospesos	0.00149106941878953	0.00462417535460367	0.00388151174668029
Master_mpagosdolares	0.00145412136974536	0.000368188556687662	0.000817160367722165
active_quarter	0.00145233869371296	0.000340047074551475	0.000612870275791624
mtarjeta_master_consumo	0.0013654608787974	0.00210403315124578	0.0024514811031665
Visa_Finiciomora	0.00105921051292276	0.00410440767788406	0.000817160367722165
cseguro_accidentes_personales	0.0010471641780578	0.00745437870865247	0.00224719101123596
ccaja_seguridad	0.00101185766894572	0.00555017007452184	0.00132788559754852
catm_trx	0.00100604312297646	0.00307664875995334	0.00377936670071502
Visa_msaldodolares	0.000998404139665101	0.00248640241571681	0.0017364657814096
tcallcenter	0.000990666579425649	0.00256375400293839	0.00102145045965271
Visa_fultimo_cierre	0.000935297796933607	0.000919061818368816	0.00214504596527068
ctarjeta_master_trx	0.000932552002864393	0.00112481953962175	0.00112359550561798
ccajas_trx	0.000925834985583534	0.00231295991329344	0.000919305413687436
cinversion1	0.000736492931722472	0.00623661230218837	0.000817160367722165
Master_mconsumototal	0.000685774072459742	0.00169893576612231	0.00163432073544433
mcheques_emitidos	0.000664374231246515	0.00238355854449975	0.000306435137895812
tmobile_app	0.00065745452243447	0.00766936863550141	0.00112359550561798
Master_cconsumos	0.00063512694192919	0.00205220383894203	0.00143003064351379
Master_mpagado	0.00059486739901179	0.00723027154140985	0.00153217568947906
cplazo_fijo	0.000584896589315853	0.00231593401309292	0.000612870275791624
tpaquete7	0.000561820140700228	0.00495071151863754	0.000715015321756895
mtarjeta_visa_descuentos	0.000514637018382158	0.00776586442815489	0.0024514811031665
tpaquete9	0.00050482631017029	0.00269465438201165	0.000715015321756895
Visa_delinquency	0.00040427706708865	0.000876464711661074	0.000817160367722165
internet	0.000389294710186716	0.00284921759881719	0.000510725229826354
ctarjeta_master_debitos_automaticos	0.000384862243717203	0.00388234989033519	0.000817160367722165
mttarjeta_master_debitos_automaticos	0.000302646886411587	0.00291428290485036	0.000817160367722165
ccajas_extracciones	0.000265965226327903	0.00142774285079392	0.000408580183861083
mcaja_ahorro_adicional	0.000242628947671829	0.00145119575206976	0.000306435137895812
matm_other	0.000222724299947603	0.000369058293435743	0.000919305413687436
Master_mconsumosdolares	0.000217094854029998	0.000439531962465601	0.00132788559754852
ccajeros_propios_descuentos	0.000210047367682497	0.00382907101678464	0.000715015321756895
minversion2	0.000207484004255965	0.00385307875012391	0.000510725229826354
catm_trx_other	0.000197370785465172	0.00158931394645469	0.00132788559754852
ctarjeta_visa	0.000196628586716565	0.000149299809933529	0.000408580183861083
Master_msaldodolares	0.000183846223881576	0.000284893768354195	0.000408580183861083
tpaquete1	0.000183454567390289	0.00398349427595256	0.000510725229826354
ccheques_depositados	0.000171412880352538	0.00390154907912473	0.000510725229826354
minversion1_pesos	0.00016077477487111	0.00159339771038102	0.000204290091930541
ccheques_emitidos	0.000144440913314661	0.000796698855190511	0.000102145045965271
ctarjeta_visa_descuentos	7.62109841806856e-05	0.000509100905337972	0.000204290091930541
cseguro_vida	7.1878723579115e-05	0.000117934303644973	0.000102145045965271
Visa_cadelantosefectivo	7.06227663127634e-05	2.89212461172252e-05	0.000102145045965271
cseguro_auto	6.24145374261737e-05	0.00154036876118337	0.000204290091930541
mforex_sell	4.43669486119055e-05	0.000365049506815277	0.000102145045965271
Visa_madelantopesos	3.50111907102959e-05	0.000107727393072665	0.000408580183861083
mcheques_depositados	3.10297412222329e-05	0.000750127951271709	0.000102145045965271
Visa_madelantodolares	2.51522901766559e-05	7.01937537546136e-05	0.000306435137895812
ccajas_depositos	2.24281270477192e-05	0.000746459061771183	0.000102145045965271
Master_delinquency	2.18845730464438e-05	0.000267334083319661	0.000102145045965271
Master_madelantodolares	1.02787773882502e-05	4.46514848885539e-05	0.000204290091930541
cseguro_vivienda	5.97629535584908e-06	3.09806227850954e-05	0.000102145045965271
Master_cadelantosefectivo	7.63006062184045e-13	4.91501232406975e-05	0.000102145045965271
cforex_sell	3.76178857337995e-13	9.45313872397103e-05	0.000204290091930541
Master_madelantopesos	1.08333301349452e-13	8.98178139440754e-05	0.000204290091930541
